BTJD,mjd,cts,e_cts,bkg_model,raw_flux,e_raw_flux,flux,e_flux,scale,shift,bkg_frac,mjd_0,modelFlux,modelResidual
1870.44408,58869.94407999981,-5339.0302,1368.8706,0.009095099090806124,-0.6717416378196444,0.172227416658396,-0.04474060475164887,0.1420248868487451,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.0,-1.2151877225825876,0.5434460847629432
1870.46491,58869.9649100001,-6841.1413,1375.3282,0.009095099090806124,-0.8607329963066348,0.17303989357609242,-0.20058963753220835,0.14269488437028913,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.020830000285059214,-1.2151877225825876,0.35445472627595276
1870.48574,58869.985739999924,-2219.7583,1400.761,0.009095099090806124,-0.27928369388241137,0.1762397763425056,0.2788942506159586,0.1453336221313651,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.0416600001117331,-1.2151877225825876,0.9359040287001762
1870.50658,58870.00657999981,-10843.6913,1370.6601,0.009095099090806124,-1.3643224857339502,0.1724525664732216,-0.6158675395168405,0.14221055343769504,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.0625,-1.2151877225825876,-0.14913476315136265
1870.52741,58870.0274100001,-9069.4821,1365.9754,0.009095099090806124,-1.1410965159983453,0.17186315080542977,-0.43178742202728193,0.14172450019977736,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.08333000028505921,-1.2151877225825876,0.07409120658424229
1870.54824,58870.048239999924,-2547.5301,1417.2715,0.009095099090806124,-0.3205230121696713,0.17831708062732146,0.24488683398562874,0.1470466415316767,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.1041600001117331,-1.2151877225825876,0.8946647104129163
1870.56907,58870.069070000194,-4363.331,1419.5668,0.009095099090806124,-0.5489819316416729,0.17860586876365517,0.0564914390064763,0.14728478655632984,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.1249900003822404,-1.2151877225825876,0.6662057909409147
1870.58991,58870.0899100001,-9081.7466,1408.5105,0.009095099090806124,-1.1426396006051784,0.1772147964542636,-0.43305990477675155,0.14613765858348438,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.1458300002850592,-1.2151877225825876,0.07254812197740912
1870.61074,58870.110739999924,-3893.5629,1404.6370000000002,0.009095099090806124,-0.489877041602013,0.17672744366983947,0.10523144499948257,0.14573577004909066,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.1666600001117331,-1.2151877225825876,0.7253106809805745
1870.63157,58870.131570000194,-12320.2937,1457.983,0.009095099090806124,-1.5501044119317866,0.18343928609604018,-0.7690699596583688,0.15127059533778717,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.1874900003822404,-1.2151877225825876,-0.33491668934919905
1870.6524,58870.15240000003,-5271.0884,1395.0928,0.009095099090806124,-0.6631933932323756,0.17552661949400353,-0.03769141656885059,0.1447455274906912,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.20832000021619024,-1.2151877225825876,0.551994329350212
1870.67323,58870.17322999983,-7548.1391,1419.9585,0.009095099090806124,-0.9496854543966611,0.1786551513467606,-0.2739430155266745,0.14732542673676666,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.22915000002103625,-1.2151877225825876,0.2655022681859265
1870.69406,58870.194060000125,-12702.4975,1425.1894,0.004856871529638358,-1.598192210085258,0.17931328834948274,-0.6957506907468204,0.1478681500450305,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.24998000031337142,-1.2151877225825876,-0.38300448750267035
1870.7149,58870.21490000003,-4888.1923,1263.6023,0.009095099090806124,-0.6150184918563253,0.15898285770226014,0.002035329901798878,0.13110294989118335,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.27082000021619024,-1.2151877225825876,0.6001692307262623
1870.73573,58870.23572999983,-4206.0807,1389.5768,0.009095099090806124,-0.5291971448709162,0.17483261201784933,0.07280668170686831,0.14417322410726136,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.29165000002103625,-1.2151877225825876,0.6859905777116714
1870.75656,58870.256560000125,-243.9908,1384.0568,0.009277825139021829,-0.03069823047731127,0.17413810127303947,0.47901596823037607,0.1436005057105005,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.3124800003133714,-1.2151877225825876,1.1844894921052762
1870.77739,58870.277389999945,-10747.8938,1374.2620000000002,0.009095099090806124,-1.352269515973819,0.17290574731592645,-0.6059282296230545,0.14258426256691475,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.33331000013276935,-1.2151877225825876,-0.1370817933912314
1870.79823,58870.29822999983,-5547.7816,1383.3434,0.009095099090806124,-0.6980061469308954,0.1740483433083026,-0.06639925821715341,0.1435264880829191,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.35415000002103625,-1.2151877225825876,0.5171815756516922
1870.81906,58870.319060000125,-6848.5839,1340.8576,0.006495518627967267,-0.8616694031307872,0.16870290044564978,-0.13206741951389864,0.1391184447385165,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.3749800003133714,-1.2151877225825876,0.35351831945180034
1870.83989,58870.339889999945,-12492.4018,1368.3370000000002,0.004856871529638358,-1.5717585649605565,0.17216028061973104,-0.6739525616761045,0.14196952407039157,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.39581000013276935,-1.2151877225825876,-0.356570842377969
1870.86072,58870.36072000022,-5520.7373,1252.6306,0.00453019481400298,-0.6946035098048333,0.1576024295249358,0.05808875898813116,0.1299645994502882,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.4166400004105526,-1.2151877225825876,0.5205842127777542
